indice,caracteristica_hog
1,0.2754734302425453
2,0.10430604552819134
3,0.0166877238556771
4,0.09420517684373354
5,0.2754734302425453
6,0.18081717498557237
7,0.04974171040957927
8,0.056119209573262954
9,0.09081543109732405
10,0.23598065826568151
11,0.22546204156152286
12,0.2676608011838274
13,0.2754734302425453
14,0.07956410279519684
15,0.11365708230729207
16,0.07627649048036012
17,0.13670082826096724
18,0.16516742375532623
19,0.2754734302425453
20,0.17464930725667294
21,0.07284293928199267
22,0.1218464984054423
23,0.2754734302425453
24,0.1154487240404308
25,0.09119711692658054
26,0.0615044632945041
27,0.1498145079826175
28,0.2754734302425453
29,0.041788322944113665
30,0.08226655114111635
31,0.15395687120542167
32,0.2754734302425453
33,0.07412569787467374
34,0.02172428355025455
35,0.0941722445083876
36,0.0861771611133004
37,0.23920265824551507
38,0.2285404239115991
39,0.2703636481552569
40,0.2703636481552569
41,0.0806504441059028
42,0.11520891761275061
43,0.07731794384605417
44,0.1385672950686163
45,0.16742256381604115
46,0.2703636481552569
47,0.019518324808725385
48,0.0992225902240995
49,0.03939359761482661
50,0.2703636481552569
51,0.1906253321227175
52,0.06345467499858112
53,0.04282741767952987
54,0.16350576148017526
55,0.2703636481552569
56,0.042358886551626035
57,0.08338979076620133
58,0.15605894617870453
59,0.2703636481552569
60,0.07513778504661667
61,0.022020899559698902
62,0.09545804043817642
63,0.0873537948823975
64,0.20526991448288945
65,0.2607246649998158
66,0.09584505823485125
67,0.14216334864850763
68,0.2703636481552569
69,0.08203028558405304
70,0.10981286389250591
71,0.0322918362742713
72,0.0993064544438367
73,0.2648527073822883
74,0.019774348584910686
75,0.10052410264798868
76,0.03991032728900251
77,0.2648527073822883
78,0.19312578325491805
79,0.06428701617893104
80,0.04338918910745881
81,0.16565048255088383
82,0.2648527073822883
83,0.04338918910745881
84,0.059434474180265005
85,0.21914236236292794
86,0.2648527073822883
87,0.11524438023541013
88,0.04787693499576608
89,0.019774348584910686
90,0.14796863074718167
91,0.20796246003473154
92,0.2641446159398708
93,0.09710226724118036
94,0.14402811920196554
95,0.2648527073822883
96,0.08310628486588686
97,0.11125328997225398
98,0.03271541145010813
99,0.10060906692290146
100,0.2648527073822883
101,0.14520896641292674
102,0.0498990808816446
103,0.19207993262208864
104,0.2648527073822883
105,0.19496612089209547
106,0.11106164625857469
107,0.11901556750119811
108,0.1902104228672178
109,0.2521237639501558
110,0.04114840026557908
111,0.0563650435385379
112,0.20782498652652182
113,0.2521237639501558
114,0.10929270594434906
115,0.04540438125763984
116,0.018753123238781994
117,0.14032694710323665
118,0.2521237639501558
119,0.1331348539778865
120,0.07428675071879627
121,0.11069223672478086
122,0.07748860885316777
123,0.2521237639501558
124,0.2521237639501558
125,0.21958066466553375
126,0.12443907883083666
127,0.2521237639501558
128,0.13770980271864514
129,0.04732209555512184
130,0.1821601673851164
131,0.2521237639501558
132,0.18489730151043804
133,0.10532598484575917
134,0.11286913422708969
135,0.1803872064868772
136,0.2521237639501558
137,0.09450636934067318
138,0.08632438219176963
139,0.17021814606882785
140,0.2521237639501558
141,0.13097496548770232
142,0.06412943810231116
143,0.06190136724954562
144,0.15870789761086027
145,0.2503127510108246
146,0.12516813677663172
147,0.06984147198754036
148,0.10406847352519713
149,0.07285173267381377
150,0.25466769191434985
151,0.24507976481765673
152,0.20644107720225063
153,0.11699271208156609
154,0.25466769191434985
155,0.051384747498092374
156,0.08423635090187906
157,0.16556264691900927
158,0.23142630451923146
159,0.11881780689116789
160,0.03469896553243688
161,0.11293339987969217
162,0.1170479419107425
163,0.25466769191434985
164,0.08885115963593623
165,0.0811587781448452
166,0.16003238485202828
167,0.25466769191434985
168,0.12313749483814614
169,0.06029196742974523
170,0.058197223124145846
171,0.14921090339714793
172,0.25466769191434985
173,0.07342206835374897
174,0.15505172721839355
175,0.14455849527751613
176,0.25466769191434985
177,0.060186081599088864
178,0.13111702444172246
179,0.20527464797061612
180,0.25466769191434985
181,0.24595587715360856
182,0.04952336776828988
183,0.08118494277562315
184,0.1595652455500733
185,0.22304303412968277
186,0.11451370756101129
187,0.03344201762022633
188,0.1088424594433002
189,0.11280795481153871
190,0.24595587715360856
191,0.1543401479766282
192,0.020197773341229294
193,0.1731621040383882
194,0.14827980107926964
195,0.15820341639327587
196,0.14749354954313365
197,0.14817408296624976
198,0.24591224060580388
199,0.24595587715360856
200,0.070762400720685
201,0.14943507721683624
202,0.1393219559155137
203,0.24595587715360856
204,0.058005879150707824
205,0.12636739379428374
206,0.19783870467267484
207,0.24595587715360856
208,0.24595587715360856
209,0.1968778177292335
210,0.08430231792417346
211,0.19171721825839164
212,0.20722438283117364
213,0.10178570634935377
214,0.1665737521188282
215,0.14910125147715514
216,0.13205908067352548
217,0.22708743211230342
218,0.1600667621136796
219,0.02094718855087623
220,0.17958708526322129
221,0.1537815529969126
222,0.16407337267312053
223,0.15296612849948857
224,0.15367191233458524
225,0.22708743211230342
226,0.22708743211230342
227,0.15495525462573112
228,0.09955173917622273
229,0.22708743211230342
230,0.22708743211230342
231,0.04276169443643017
232,0.11542914848526956
233,0.10975415284468269
234,0.17018457063524592
235,0.22708743211230342
236,0.20418274330472783
237,0.08743025872207835
238,0.19883066571057964
239,0.21491320583555779
240,0.10556234821844306
241,0.17275428010361296
242,0.15463348236947247
243,0.1369589813683566
244,0.22571454694692453
245,0.16096493557790562
246,0.04452214948749266
247,0.14879343565345188
248,0.22708743211230342
249,0.08462590861169327
250,0.09433365601467851
251,0.17920149249393483
252,0.15867345833895596
253,0.24139379468345382
254,0.17069915760198937
255,0.10966648440699178
256,0.24139379468345382
257,0.24139379468345382
258,0.047106406527244064
259,0.12715708451927882
260,0.12090549287378789
261,0.18747581625714532
262,0.24139379468345382
263,0.04889364573900191
264,0.1577775404718308
265,0.11479299630560164
266,0.24139379468345382
267,0.24139379468345382
268,0.09428272032178867
269,0.05589217605631027
270,0.1169947249634638
271,0.24139379468345382
272,0.1773194395567425
273,0.04904572891381534
274,0.1639112799633477
275,0.24139379468345382
276,0.0932241461976225
277,0.1039182288726821
278,0.19740888351039076
279,0.17479514158893494
280,0.20614551852383287
281,0.15131368367978518
282,0.16859682764955136
283,0.13637580640954258
284,0.24139379468345382
285,0.1094444876538489
286,0.128268961593668
287,0.056339653250557585
288,0.07957550484739036
289,0.25206659330127495
290,0.05213167920000999
291,0.16822652515524977
292,0.12239528403663107
293,0.25206659330127495
294,0.25206659330127495
295,0.10052669330810436
296,0.05959369459810558
297,0.12474282450620135
298,0.25206659330127495
299,0.06634044933181844
300,0.10052669330810436
301,0.22113443633903013
