punto_clave_id,posicion_x,posicion_y,tamaño,angulo,respuesta,octava
1,330.0,186.0,31.0,252.24586486816406,-0.00020495547505561262,0
2,50.0,37.0,31.0,41.09840774536133,-0.0002120415010722354,0
3,126.0,191.0,31.0,122.6773681640625,0.005627367179840803,0
4,478.0,56.0,31.0,31.119544982910156,-0.00022183357214089483,0
5,504.0,131.0,31.0,289.86767578125,-0.00019461748888716102,0
6,481.0,51.0,31.0,34.845481872558594,-0.00018682166410144418,0
7,573.0,256.0,31.0,238.38970947265625,-0.00022162124514579773,0
8,137.0,254.0,31.0,150.2586669921875,0.0011483103735372424,0
9,267.0,46.0,31.0,139.6497802734375,-0.00011483322305139154,0
10,146.0,202.0,31.0,329.0541076660156,0.0005392587627284229,0
11,469.0,251.0,31.0,305.0374450683594,-0.00016583518299739808,0
12,268.0,48.0,31.0,141.5516357421875,-8.872671605786309e-05,0
13,329.0,267.0,31.0,149.54209899902344,-0.0001219666373799555,0
14,413.0,32.0,31.0,126.8025131225586,0.0005154512473382056,0
15,114.0,182.0,31.0,122.67343139648438,0.002803920768201351,0
16,271.0,52.0,31.0,147.8031005859375,-6.345566362142563e-05,0
17,124.0,272.0,31.0,10.845108032226562,0.0013644268037751317,0
18,408.0,127.0,31.0,242.02456665039062,-0.00016796650015749037,0
19,140.0,256.0,31.0,58.00676727294922,0.001562276971526444,0
20,183.0,250.0,31.0,170.3275909423828,0.0010292123770341277,0
21,189.0,260.0,31.0,126.26506805419922,0.0011529213516041636,0
22,131.0,189.0,31.0,326.9149169921875,0.005024471320211887,0
23,181.0,250.0,31.0,161.16648864746094,2.7669710107147694e-05,0
24,128.0,194.0,31.0,129.87210083007812,0.0007410221151076257,0
25,192.0,265.0,31.0,131.12445068359375,0.0005862238467670977,0
26,502.0,130.0,31.0,294.7291259765625,-0.00015728047583252192,0
27,326.0,263.0,31.0,158.83303833007812,-5.4920572438277304e-05,0
28,499.0,128.0,31.0,303.7002868652344,-0.00010176038631470874,0
29,114.0,180.0,31.0,125.93534851074219,0.00047577579971402884,0
30,191.0,263.0,31.0,128.94210815429688,0.0016606147401034832,0
31,566.0,190.0,31.0,143.7789306640625,-0.0002270015247631818,0
32,472.0,256.0,31.0,307.8486022949219,-0.000317439844366163,0
33,554.0,179.0,31.0,128.87960815429688,-0.00032868870766833425,0
34,570.0,196.0,31.0,150.9536895751953,-0.00024154498532880098,0
35,336.0,274.0,31.0,136.5472869873047,-0.0004897601320408285,0
36,342.0,129.0,31.0,123.93402099609375,-0.0005620509036816657,0
37,503.0,31.0,31.0,72.7101821899414,-0.0005812390008941293,0
38,352.0,168.0,31.0,236.04266357421875,-0.00041037070332095027,0
39,410.0,126.0,31.0,244.39878845214844,-0.0002711768902372569,0
40,544.0,173.0,31.0,117.41117858886719,-0.00037352126673795283,0
41,475.0,61.0,31.0,27.762243270874023,-0.0005224762135185301,0
42,325.0,194.0,31.0,249.4589385986328,-0.00034522920032031834,0
43,347.0,171.0,31.0,229.0906219482422,-0.0003481327148620039,0
44,501.0,32.0,31.0,75.77696990966797,-0.0002771860163193196,0
45,555.0,133.0,31.0,231.83604431152344,-0.0005435264320112765,0
46,326.0,111.0,31.0,151.47344970703125,-0.0004321815795265138,0
47,572.0,258.0,31.0,243.93666076660156,-0.0005553867085836828,0
48,252.0,33.0,31.0,119.1634521484375,-0.00036599391023628414,0
49,44.0,41.0,31.0,51.3321647644043,-0.00045674742432311177,0
50,328.0,189.0,31.0,212.07937622070312,-0.00032079650554805994,0
51,282.0,259.0,31.0,216.38966369628906,-0.000534959021024406,0
52,474.0,259.0,31.0,315.0968322753906,-0.00042575530824251473,0
53,254.0,34.0,31.0,121.27067565917969,-0.00030747419805265963,0
54,340.0,127.0,31.0,126.49507141113281,-0.0004989368026144803,0
55,249.0,31.0,31.0,113.69142150878906,-0.0004290532961022109,0
56,548.0,175.0,31.0,126.95735168457031,-0.00033911323407664895,0
57,327.0,191.0,31.0,238.64013671875,-0.00033878342946991324,0
58,354.0,167.0,31.0,251.57073974609375,-0.00041472783777862787,0
59,567.0,192.0,31.0,145.96791076660156,-0.0002443675766699016,0
60,332.0,120.0,31.0,140.57351684570312,-0.00042148190550506115,0
61,571.0,198.0,31.0,152.86219787597656,-0.0002479171089362353,0
62,546.0,174.0,31.0,121.91145324707031,-0.00033581932075321674,0
63,209.0,174.0,31.0,62.544761657714844,-0.0005795733304694295,0
64,328.0,114.0,31.0,148.16949462890625,-0.0004311952507123351,0
65,274.0,183.0,31.0,136.24853515625,-0.00047525702393613756,0
66,350.0,169.0,31.0,213.61734008789062,-0.00042002770351246,0
67,269.0,180.0,31.0,123.21018981933594,-0.00039399939123541117,0
68,471.0,254.0,31.0,312.83953857421875,-0.00024641462368890643,0
69,345.0,172.0,31.0,253.60589599609375,-0.00026814555167220533,0
70,189.0,196.0,31.0,23.29250717163086,-0.0006038052961230278,0
71,345.0,131.0,31.0,124.07612609863281,-0.0006101225735619664,0
72,188.0,198.0,31.0,24.95719337463379,-0.0006701405509375036,0
73,564.0,271.0,31.0,40.507659912109375,-0.001150060212239623,0
74,206.0,176.0,31.0,61.49788284301758,-0.0010860806796699762,0
75,284.0,256.0,31.0,214.2173614501953,-0.0008656897116452456,0
76,143.0,252.0,31.0,35.10454177856445,-0.0011505314614623785,0
77,571.0,43.0,31.0,137.38568115234375,-0.0009324628626927733,0
78,350.0,134.0,31.0,122.0700912475586,-0.0008145095780491829,0
79,552.0,135.0,31.0,233.42495727539062,-0.0006362278363667428,0
80,46.0,269.0,31.0,167.22042846679688,-0.001017910079099238,0
81,324.0,100.0,31.0,158.59800720214844,-0.0006419912679120898,0
82,474.0,63.0,31.0,26.12160301208496,-0.0006405668100342155,0
83,270.0,269.0,31.0,240.03317260742188,-0.0010837492300197482,0
